"Code","Year","Population.with.access.to.improved.sanitation","Population.without.access.to.improved.sanitation","Access.to.electricity....of.population.","Entity"
"DZA",2004,27906432,4924664,98.8307876586914,"Algeria"
"DZA",2005,28395037,4893400,98.7966461181641,"Algeria"
"DZA",2006,28913895,4864020,98.7744140625,"Algeria"
"DZA",2007,29429465,4870611,98.7701416015625,"Algeria"
"DZA",2008,30015076,4845639,99.3,"Algeria"
"DZA",2009,30642417,4823343,98.8276748657227,"Algeria"
"DZA",2010,31277874,4839763,98.8849716186523,"Algeria"
"DZA",2011,31959376,4860182,98.9572982788086,"Algeria"
"DZA",2012,32682287,4883560,98.7646604654583,"Algeria"
"DZA",2013,33431226,4907336,99.1349868774414,"Algeria"
"DZA",2014,34185036,4928277,99.2343444824219,"Algeria"
"DZA",2015,34927459,4944069,99.3367080688477,"Algeria"
"DZA",2016,NA,NA,99.439567565918,"Algeria"
"EGY",1995,50206936,13507450,95.5,"Egypt"
"EGY",1996,51816898,13116558,96.0658493041992,"Egypt"
"EGY",1997,53582405,12568712,96.3816375732422,"Egypt"
"EGY",1998,55317384,12060672,96.679069519043,"Egypt"
"EGY",1999,57097384,11529280,96.9550933837891,"Egypt"
"EGY",2000,58930748,10975240,97.7,"Egypt"
"EGY",2001,60899034,10327906,97.4428253173828,"Egypt"
"EGY",2002,62863042,9727076,97.6651306152344,"Egypt"
"EGY",2003,64882163,9099779,98.8,"Egypt"
"EGY",2004,66939126,8442773,98.1013488769531,"Egypt"
"EGY",2005,69100334,7677815,99.4,"Egypt"
"EGY",2006,71202893,6956155,99.04,"Egypt"
"EGY",2007,73333347,6203906,98.8195953369141,"Egypt"
"EGY",2008,75529971,5423910,99.8,"Egypt"
"EGY",2009,77846981,4618041,99.3794631958008,"Egypt"
"EGY",2010,79649903,4457703,99.6496963500977,"Egypt"
"EGY",2011,81344990,4552571,99.8531723022461,"Egypt"
"EGY",2012,83159154,4654103,99.7,"Egypt"
"EGY",2013,85047639,4759794,99.9950942993164,"Egypt"
"EGY",2014,86946500,4866066,99.8,"Egypt"
"EGY",2015,88807929,4970243,100,"Egypt"
"EGY",2016,NA,NA,100,"Egypt"
"ERI",1995,302836,2787323,22.9,"Eritrea"
"ERI",1996,314754,2801625,24.8012676239014,"Eritrea"
"ERI",1997,328780,2832570,25.9255447387695,"Eritrea"
"ERI",1998,344992,2879231,27.0314693450928,"Eritrea"
"ERI",1999,366551,2935712,28.1159801483154,"Eritrea"
"ERI",2000,386779,3006022,29.1775379180908,"Eritrea"
"ERI",2001,409164,3087960,30.2206859588623,"Eritrea"
"ERI",2002,433757,3180882,32.2,"Eritrea"
"ERI",2003,463545,3274720,32.2760047912598,"Eritrea"
"ERI",2004,490045,3368578,33.3003044128418,"Eritrea"
"ERI",2005,515971,3453036,34.3304443359375,"Eritrea"
"ERI",2006,540864,3525784,35.372486114502,"Eritrea"
"ERI",2007,569006,3584326,36.4324989318848,"Eritrea"
"ERI",2008,592569,3640067,37.5150337219238,"Eritrea"
"ERI",2009,616378,3693956,38.618595123291,"Eritrea"
"ERI",2010,641063,3749777,39.7401809692383,"Eritrea"
"ERI",2011,666729,3807961,40.8767852783203,"Eritrea"
"ERI",2012,NA,NA,42.0254058837891,"Eritrea"
"ERI",2013,NA,NA,43.1830368041992,"Eritrea"
"ERI",2014,NA,NA,44.3466758728027,"Eritrea"
"ERI",2015,NA,NA,45.5133209228516,"Eritrea"
"ERI",2016,NA,NA,46.6804618835449,"Eritrea"
"ETH",1995,1719296,55590584,1.11878561973572,"Ethiopia"
"ETH",1996,1774654,57380494,2.78076887130737,"Ethiopia"
"ETH",1997,2804917,58171533,4.42745685577393,"Ethiopia"
"ETH",1998,3704855,59089296,6.05578994750977,"Ethiopia"
"ETH",1999,4718724,59921330,7.66270923614502,"Ethiopia"
"ETH",2000,5722210,60815121,12.7,"Ethiopia"
"ETH",2001,6780733,61711524,10.8122329711914,"Ethiopia"
"ETH",2002,7895686,62601506,12.3654432296753,"Ethiopia"
"ETH",2003,9140688,63404456,13.9123697280884,"Ethiopia"
"ETH",2004,10372792,64251613,15.4590759277344,"Ethiopia"
"ETH",2005,11662517,65064566,14,"Ethiopia"
"ETH",2006,13010364,65840325,18.576078414917,"Ethiopia"
"ETH",2007,14418073,66582336,20.1585006713867,"Ethiopia"
